response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
count_total,Y_year_only_D0_Ra,year + offset + (1|area),completed,1016,11509.2715886471,11543.736989044068,-5747.63579432355,TRUE,TRUE,,59.35737171887922,FALSE,none,area,year_only
count_total,Y_year_only_Dc_Ra,year + depth_cat + offset + (1|area),completed,1016,11511.555279573315,11555.86793722656,-5746.777639786657,TRUE,TRUE,,61.64106264509428,TRUE,cat,area,year_only
count_total,YM_year_month_Dc_Rv,year + month + depth_cat + offset + (1|vessel),completed,1016,11539.424815267192,11637.89738782996,-5749.712407633596,TRUE,TRUE,,89.51059833897125,TRUE,cat,vessel,year_month
count_total,YM_year_month_D0_Rv,year + month + offset + (1|vessel),completed,1016,11540.312246652393,11628.937561958885,-5752.156123326196,TRUE,TRUE,,90.39802972417237,FALSE,none,vessel,year_month
count_total,YM_year_month_D2_Rv,year + month + depth_quad + offset + (1|vessel),completed,1016,11542.750713693456,11641.223286256225,-5751.375356846728,TRUE,TRUE,,92.836496765236,TRUE,quad,vessel,year_month
count_total,YM_year_month_D0_R0,year + month + offset,completed,1016,11567.74302236685,11651.444709045203,-5766.871511183425,TRUE,TRUE,,117.8288054386303,FALSE,none,none,year_month
count_total,YM_year_month_D2_R0,year + month + depth_quad + offset,completed,1016,11568.57041768001,11662.11936161464,-5765.285208840005,TRUE,TRUE,,118.65620075178958,TRUE,quad,none,year_month
count_total,YM_year_month_Dc_R0,year + month + depth_cat + offset,completed,1016,11569.283015095585,11662.831959030214,-5765.641507547793,TRUE,TRUE,,119.36879816736473,TRUE,cat,none,year_month
count_total,Y_year_only_Dc_Rv,year + depth_cat + offset + (1|vessel),completed,1016,11580.868900813177,11625.181558466422,-5781.434450406588,TRUE,TRUE,,130.95468388495647,TRUE,cat,vessel,year_only
count_total,Y_year_only_D2_Rv,year + depth_quad + offset + (1|vessel),completed,1016,11581.093072187647,11625.405729840892,-5781.546536093823,TRUE,TRUE,,131.1788552594262,TRUE,quad,vessel,year_only
count_total,Y_year_only_D0_Rv,year + offset + (1|vessel),completed,1016,11581.578881225494,11616.044281622462,-5783.789440612747,TRUE,TRUE,,131.6646642972737,FALSE,none,vessel,year_only
count_total,Y_year_only_D2_R0,year + depth_quad + offset,completed,1016,11606.216478506665,11645.605507531773,-5795.108239253333,TRUE,TRUE,,156.3022615784448,TRUE,quad,none,year_only
count_total,Y_year_only_D0_R0,year + offset,completed,1016,11610.011732625166,11639.553504393996,-5799.005866312583,TRUE,TRUE,,160.09751569694527,FALSE,none,none,year_only
count_total,Y_year_only_Dc_R0,year + depth_cat + offset,completed,1016,11611.665371653087,11651.054400678195,-5797.832685826544,TRUE,TRUE,,161.75115472486686,TRUE,cat,none,year_only
